layer,head,flat_idx,emotion,f1_drop,baseline_f1
10,6,126,remorse,0.0,0.6470588235294118
10,6,126,sadness,0.0018520536006100263,0.583941605839416
10,6,126,surprise,0.0,0.5714285714285714
10,7,127,admiration,0.003353274331155842,0.7476280834914611
10,7,127,amusement,0.0,0.8362369337979094
10,7,127,anger,0.012048192771084376,0.5180722891566265
10,7,127,annoyance,0.0034854198278322923,0.45136186770428016
10,7,127,approval,0.02115667718191383,0.5678233438485805
10,7,127,caring,-0.007377049180327777,0.55
10,7,127,confusion,-0.00618336886993609,0.5223880597014925
10,7,127,curiosity,0.008974160606529447,0.7046263345195729
10,7,127,desire,0.0,0.6388888888888888
10,7,127,disappointment,-0.01228116017768488,0.3023255813953488
10,7,127,disapproval,-0.009358789240066279,0.5072463768115942
10,7,127,disgust,0.009885992186877135,0.5585585585585585
10,7,127,embarrassment,-0.12444444444444441,0.32
10,7,127,excitement,0.005555555555555591,0.45
10,7,127,fear,0.015868673050615678,0.6511627906976745
10,7,127,gratitude,0.0032667291691081957,0.9326145552560647
10,7,127,joy,0.038461538461538436,0.6666666666666666
10,7,127,love,-0.013066202090592283,0.8083623693379791
10,7,127,optimism,-0.00140350877192974,0.56
10,7,127,realization,0.012987012987012991,0.2857142857142857
10,7,127,remorse,0.0,0.6470588235294118
10,7,127,sadness,0.01872421453506823,0.583941605839416
10,7,127,surprise,0.0,0.5714285714285714
10,8,128,admiration,0.00379506641366234,0.7476280834914611
10,8,128,amusement,0.004069101630077232,0.8362369337979094
10,8,128,anger,-0.006317954745812537,0.5180722891566265
10,8,128,annoyance,0.032007028994602726,0.45136186770428016
10,8,128,approval,-0.003605227579990933,0.5678233438485805
10,8,128,caring,-0.004621848739495782,0.55
10,8,128,confusion,-0.00392772977219169,0.5223880597014925
10,8,128,curiosity,-0.011685722218015782,0.7046263345195729
10,8,128,desire,0.0,0.6388888888888888
10,8,128,disappointment,0.01661129568106312,0.3023255813953488
10,8,128,disapproval,-0.009117259552042123,0.5072463768115942
10,8,128,disgust,0.016502483792203426,0.5585585585585585
10,8,128,embarrassment,0.0,0.32
10,8,128,excitement,0.0,0.45
10,8,128,fear,0.048753152143457545,0.6511627906976745
10,8,128,gratitude,0.0,0.9326145552560647
10,8,128,joy,-0.004065040650406582,0.6666666666666666
10,8,128,love,-0.00435847871855799,0.8083623693379791
10,8,128,optimism,0.0,0.56
10,8,128,realization,0.028833551769331556,0.2857142857142857
10,8,128,remorse,0.0,0.6470588235294118
10,8,128,sadness,0.0,0.583941605839416
10,8,128,surprise,0.0,0.5714285714285714
10,9,129,admiration,0.001415962279339933,0.7476280834914611
10,9,129,amusement,0.01106210862308421,0.8362369337979094
10,9,129,anger,-0.003139832055494729,0.5180722891566265
10,9,129,annoyance,0.022790439132851614,0.45136186770428016
10,9,129,approval,0.003720779746016367,0.5678233438485805
10,9,129,caring,0.0121848739495799,0.55
10,9,129,confusion,0.0,0.5223880597014925
10,9,129,curiosity,-0.00505108483526584,0.7046263345195729
10,9,129,desire,-0.008998435054773157,0.6388888888888888
