head_a_layer,head_a_head,head_b_layer,head_b_head,correlation
1,10,11,5,0.771682736396825
7,1,8,6,0.771651753347079
5,10,6,4,0.7714477759461157
1,7,3,6,0.7705637609651211
4,1,8,3,0.770140164054412
7,9,9,6,0.7700850476630559
0,6,7,1,0.7697932237242591
4,4,6,2,0.7692401794698359
0,3,8,1,0.7692235206208987
5,6,7,7,0.7691598492341729
10,10,11,4,0.7691320782879156
7,7,9,6,0.7687439948094428
3,7,6,2,0.7686571909212604
4,10,10,7,0.7684920419724829
2,4,3,6,0.7683912195196922
3,7,8,1,0.7683326267667907
3,2,8,7,0.7674484647679918
0,6,11,5,0.7672456212738368
4,4,8,3,0.7672378757938355
3,0,4,1,0.7669242462524589
2,3,4,1,0.7663857253990113
5,6,5,8,0.7648723551586799
0,6,2,3,0.7648689653444628
0,6,9,11,0.7647878713440494
3,7,4,4,0.7645162102506632
4,8,9,1,0.7642332764428452
5,4,6,2,0.7636262357126268
5,3,6,11,0.7636126135720308
11,6,11,10,0.7631684039996659
6,7,10,10,0.7628969557437056
4,4,10,2,0.7622131759535288
0,6,10,3,0.7618715878510351
5,2,9,6,0.7618593528228881
7,4,8,6,0.7616678702088512
7,10,9,11,0.7616614323203516
4,4,5,8,0.7611167131102365
6,11,8,6,0.7609559623330501
3,0,10,3,0.7609465782098295
2,10,8,9,0.7609435674120353
2,10,6,7,0.7608702875070077
0,4,7,4,0.7607952743836072
2,3,6,11,0.7607451466223191
3,7,6,1,0.7599685881406674
8,3,10,3,0.759826678762288
4,10,5,3,0.7593097349750126
5,4,9,11,0.7588862278375605
5,6,10,2,0.7579844247074704
10,0,11,4,0.7574121576899175
7,1,10,7,0.7572464342162215
3,7,8,3,0.7567597684845158
7,4,7,9,0.75634243452152
8,11,9,0,0.7552325324821935
3,0,10,2,0.7548550201630114
0,8,9,9,0.7548052470734874
6,11,7,9,0.7545354425030497
4,8,10,2,0.7540150941120889
3,7,5,6,0.7538023075835927
4,8,7,7,0.7534447289753958
0,6,6,1,0.7533263400824699
5,3,8,1,0.7532925651345029
0,4,10,3,0.7531381365354738
3,0,3,7,0.7529413455114017
2,3,10,3,0.7525175444111554
0,6,5,1,0.7524766569179923
0,6,10,2,0.7524022302165951
2,3,5,8,0.7522211253752601
3,0,4,4,0.7522008614112946
7,9,10,11,0.7512060410938118
4,0,8,9,0.7509935276550573
4,4,11,6,0.75082942552523
10,3,11,10,0.7506128803311299
8,2,9,11,0.7503501805568544
8,3,9,1,0.749865966540212
10,7,10,11,0.7494617401111685
5,6,7,4,0.7493212061354545
1,10,5,8,0.7492036957577354
4,4,4,10,0.7484985358410289
5,2,7,4,0.7484403188920593
4,4,6,1,0.7477398198512937
6,11,8,1,0.7474573573525835
4,1,9,1,0.7470704175616142
4,8,5,3,0.746851754748593
7,4,7,7,0.746685692376646
0,3,11,6,0.7462894063289542
5,4,7,4,0.7458418408906266
9,1,11,5,0.7446466500078903
5,3,7,4,0.744394204755014
0,6,4,8,0.7436804370925921
7,1,7,7,0.7431472012860165
4,4,7,7,0.7429165113322708
4,8,6,2,0.7426480852430992
0,4,9,6,0.7425253200990033
10,4,11,4,0.742307682584798
5,4,6,1,0.7419143222168212
6,2,6,11,0.7417088229170259
2,3,6,2,0.7411191534012175
0,4,4,8,0.7406171365928783
5,6,8,1,0.7400171723825409
6,1,7,7,0.7400168707504174
5,4,11,10,0.7399368068153458
8,3,8,6,0.7392683995798005
0,10,3,9,0.738732304218382
5,1,9,1,0.7382213944774404
4,4,11,10,0.7381297509964073
5,8,9,6,0.7381059386857333
6,11,9,11,0.738090950375504
7,10,10,3,0.73804300010095
4,10,7,4,0.7380297036479905
11,4,11,8,0.7373838166706418
5,1,9,11,0.737087647405543
6,11,11,6,0.736733452950226
2,3,9,6,0.7367028017546379
0,8,10,8,0.7366815029144295
1,10,5,1,0.7362995391997845
7,4,10,2,0.7360448435333274
11,3,11,11,0.735992781180179
3,4,4,3,0.7359007320282962
0,6,5,6,0.7354919375829908
4,9,5,7,0.735020652710062
3,0,11,5,0.7346426834656494
2,3,8,1,0.7339341399810175
0,10,4,9,0.733739591396163
