head_a_layer,head_a_head,head_b_layer,head_b_head,correlation
4,6,11,7,0.7066120013338312
0,4,4,1,0.7064019360719264
5,2,8,1,0.7062853615771112
7,1,8,3,0.7060979868222829
10,5,11,6,0.7059379679061349
2,3,4,8,0.7058707442085419
6,2,9,6,0.7056613973735241
1,10,7,10,0.7054742494288819
4,1,8,1,0.7049713931592504
2,10,10,4,0.7041230676649095
1,10,9,6,0.7039670105853282
8,8,9,0,0.7032964212839908
6,2,9,1,0.7030185539572537
8,6,10,2,0.7024779982053152
4,8,8,6,0.7024515337088961
8,1,10,7,0.7016628053337257
0,8,6,4,0.7016602959534354
1,10,5,2,0.7015129057819652
6,2,8,6,0.7012993201953532
3,0,8,1,0.7009350130528758
9,6,10,2,0.7009275361463175
1,10,8,2,0.6996370795991255
4,11,5,5,0.6995190201316763
4,1,10,5,0.6993823906750323
0,9,0,10,0.6985880180275711
6,11,7,1,0.6983852064322917
7,1,9,11,0.6974989656671597
0,4,10,11,0.6974803229641511
1,10,4,4,0.6974224948331165
1,1,6,5,0.6971999124785636
7,1,10,11,0.6970588226329534
3,0,11,6,0.6967442712776852
3,0,6,11,0.6965970204814933
9,11,10,3,0.6955547921864074
3,0,7,10,0.6954816062628344
3,0,6,1,0.6952267705551594
4,0,8,8,0.6951186244923953
7,7,9,1,0.6950813193092198
1,4,2,8,0.6949052136538235
4,8,11,10,0.6947760604153423
7,10,8,1,0.6944251284028676
4,1,9,11,0.6935698745082078
4,4,8,6,0.6931021918786349
6,2,7,9,0.6929332502107908
4,10,7,1,0.6922954107303195
7,7,10,2,0.691728277479565
2,4,3,3,0.6915262767836585
9,6,9,11,0.6911903001145274
0,6,7,9,0.6907640373858189
5,3,9,1,0.6906900123974576
5,3,9,11,0.6905032665024082
11,3,11,8,0.6901317087987688
0,0,9,5,0.6900857717425175
8,1,8,2,0.6898115848761591
9,9,10,8,0.6893157203694492
6,5,9,3,0.6888340803715488
1,10,5,4,0.6886981833092037
4,0,9,0,0.6885962409072566
10,5,11,5,0.6883926072471963
9,1,10,3,0.6879781856480972
0,4,9,1,0.6876857567629143
9,6,10,11,0.6876071703312675
9,3,9,10,0.6866787126540529
10,10,11,3,0.6862995441107005
10,7,11,10,0.6862396654197979
7,7,8,3,0.6855995798985506
1,5,6,4,0.6848332909103911
1,5,5,10,0.6844075302627163
8,3,9,11,0.6834519372187972
8,4,11,4,0.683188058169169
0,2,8,5,0.6825986273359903
8,6,10,3,0.6825305283447916
9,11,11,5,0.6823540376474833
3,7,11,6,0.6822608487277766
4,10,10,5,0.6820450656475179
0,1,0,2,0.6810510143755192
0,9,9,9,0.6808402093737658
5,8,10,5,0.6803951863373576
0,9,2,9,0.6796656804925851
9,1,9,6,0.6796076360714098
6,7,8,11,0.6795637293824891
1,0,1,5,0.6793969283680075
0,6,7,4,0.6793386396252723
8,8,11,4,0.679263955119592
2,1,3,10,0.6786941905682613
4,4,10,5,0.6786375402015737
1,7,2,2,0.6780153284540829
0,1,1,0,0.6779916653105719
4,0,11,3,0.6778445065495275
8,1,8,3,0.6777879461860491
8,1,10,2,0.6775901738095446
9,6,10,5,0.6775594897476604
5,2,9,1,0.6764408123830198
5,3,10,11,0.6761077331906794
8,1,9,6,0.6755438678957886
1,10,10,11,0.6750877719214711
7,0,7,8,0.6750119950885578
5,8,11,10,0.6749583768992458
5,6,11,10,0.6747993323965202
3,10,9,4,0.6747778516172693
10,7,11,6,0.6744655683814544
0,6,8,1,0.6735588974714798
2,4,5,11,0.6735208694586615
5,8,8,1,0.6732233254254685
3,2,4,9,0.6731925916508473
6,11,9,1,0.6729685805134614
6,7,11,3,0.6728315083115335
1,10,4,8,0.6722290502270697
7,4,10,11,0.6719644772433886
6,2,7,7,0.6714728522843335
4,0,10,0,0.6712763881687694
5,3,11,6,0.671004399570697
9,5,11,11,0.6707087493097311
5,4,10,5,0.6705410741468688
0,3,9,1,0.6704812868160606
8,2,10,11,0.669600567472766
8,6,9,11,0.6692734445223568
5,3,11,10,0.6686007994444555
5,10,10,8,0.6674367083789233
10,0,11,9,0.6666784607933661
1,10,4,1,0.6664913516295096
4,4,7,9,0.666049391612283
8,9,9,0,0.6657373344414181
3,0,5,8,0.665658818404768
3,0,10,5,0.6656073706656905
0,9,1,1,0.6655849885829155
10,1,11,3,0.6653789119220436
10,0,11,11,0.6647498602540507
0,1,4,5,0.6646989309198862
1,10,2,3,0.6641683922127123
4,4,7,10,0.6638083129752341
5,1,11,6,0.663285212967119
0,10,3,2,0.6628795038151932
0,1,1,5,0.662844187075959
0,1,5,10,0.6627327390596162
4,8,8,1,0.6626789547069143
4,8,11,6,0.6626720913118815
11,2,11,3,0.6626159339013878
0,9,11,0,0.662334966885511
3,7,10,11,0.6617488047915567
0,0,10,0,0.6615432319843997
5,2,11,10,0.6612647551589932
0,1,3,3,0.66074361781875
1,10,4,10,0.660643904514013
9,8,10,0,0.6587624488272076
1,9,3,2,0.6570502688737058
8,3,10,11,0.6566150648453082
0,10,2,7,0.6564293256914097
10,0,11,8,0.6558204597889612
3,0,11,10,0.6555489500293246
4,10,8,1,0.6554554097096665
11,5,11,10,0.6551941527932599
