rank_index,Query_mean,Query_std,Key_mean,Key_std,Value_mean,Value_std,Attn_Output_mean,Attn_Output_std,FFN_Inter_mean,FFN_Inter_std,FFN_Output_mean,FFN_Output_std
118,0.3406122,0.05645499,0.30653667,0.03659247,0.51851445,0.062465336,0.50339943,0.066915944,0.22828881,0.023345666,0.33217445,0.059631806
119,0.33998656,0.056281276,0.30550033,0.03657194,0.51700604,0.062354576,0.5019394,0.06729277,0.2278154,0.023294086,0.33171144,0.05935443
120,0.33854714,0.0559569,0.30462673,0.036365118,0.51522976,0.06248035,0.5009699,0.06735939,0.22747259,0.023250557,0.3310292,0.059395753
121,0.33756828,0.055825826,0.30362335,0.036502194,0.5138263,0.062726736,0.4996251,0.066985615,0.22702752,0.023216747,0.3304716,0.05923729
122,0.33661982,0.055497076,0.30258128,0.036238708,0.51210576,0.06267246,0.4981493,0.06710546,0.22670734,0.023205638,0.32983425,0.059054952
123,0.33528042,0.055231985,0.30170056,0.036082365,0.51088786,0.06276854,0.49716806,0.066975415,0.22631414,0.023152707,0.32926342,0.059020758
124,0.33420917,0.05498089,0.3006213,0.03587997,0.50985116,0.06253191,0.49588764,0.067066304,0.22594689,0.023189558,0.32859334,0.058810998
125,0.3333961,0.05485819,0.29962888,0.035892308,0.5083894,0.06255286,0.49464688,0.06724307,0.22549023,0.022960704,0.32809392,0.058733877
126,0.33249903,0.054874603,0.29868105,0.035791043,0.5066876,0.0626958,0.49331734,0.06730442,0.22504388,0.022957565,0.32737908,0.0585535
127,0.33120015,0.054696817,0.29782096,0.03585264,0.5050275,0.06287619,0.49218622,0.067090176,0.2247399,0.022932995,0.32679155,0.058489963
128,0.33016995,0.054449696,0.29700455,0.035681143,0.5038907,0.0625755,0.49103442,0.067247786,0.22436683,0.022871377,0.32624614,0.0583739
129,0.3289568,0.054061063,0.29622397,0.03556834,0.50252956,0.06257475,0.48992828,0.067455135,0.22401185,0.022869095,0.32564473,0.05833039
130,0.32779935,0.053787284,0.2951965,0.035394996,0.5009383,0.06238617,0.4883791,0.06747981,0.2236046,0.02274568,0.3251654,0.0582294
131,0.3269305,0.053705893,0.2942209,0.035487305,0.49961492,0.0623215,0.48712206,0.067446955,0.22321607,0.02282828,0.32455653,0.05810187
132,0.32614958,0.053641144,0.29319364,0.03542917,0.49838412,0.06249641,0.48576704,0.06735446,0.22282262,0.022812564,0.32402843,0.058051012
133,0.3251337,0.053295273,0.29244316,0.035383295,0.49697205,0.062474307,0.48476768,0.06713338,0.22253746,0.022779195,0.32355136,0.058020316
134,0.32393387,0.053205248,0.2916105,0.035291318,0.49574363,0.06285098,0.4831799,0.06729413,0.22208516,0.022742921,0.3230542,0.057975132
135,0.32289413,0.053179,0.2907404,0.03509816,0.49414405,0.06262545,0.4823244,0.06731931,0.22174005,0.022806184,0.32253966,0.057915892
136,0.32192448,0.05286963,0.2898262,0.03517777,0.49284592,0.06259628,0.480799,0.0674523,0.22138552,0.022797212,0.32189444,0.057790454
137,0.3208887,0.052523863,0.28899667,0.035069443,0.49118719,0.063113354,0.47970876,0.067160055,0.22092128,0.022604777,0.32136595,0.057682857
138,0.319958,0.05244517,0.2882301,0.035114378,0.4900407,0.062661126,0.47848487,0.0672665,0.22053377,0.02260423,0.32084158,0.057688523
139,0.31925663,0.052261766,0.28707877,0.03485223,0.48883668,0.06260119,0.47731867,0.06748672,0.22015925,0.022605527,0.32020113,0.057626422
140,0.3181816,0.05194202,0.28627995,0.034837905,0.48731327,0.0625965,0.47579792,0.067429185,0.21982177,0.022445463,0.31978503,0.05758354
141,0.31705537,0.051875222,0.28559318,0.03477861,0.48626956,0.062736526,0.47455063,0.066952854,0.21939524,0.022423986,0.31921777,0.05735048
142,0.3159441,0.051749088,0.28461957,0.034588866,0.4847001,0.06276705,0.47347715,0.067151554,0.21900661,0.02237489,0.31875136,0.05728135
143,0.31476057,0.051409964,0.28386655,0.034397855,0.48348364,0.062665835,0.47241327,0.0671773,0.2186513,0.022260847,0.3182398,0.05719555
144,0.3141168,0.05133102,0.2830362,0.03419974,0.4822254,0.06278644,0.47148323,0.06747801,0.21832515,0.022188073,0.3176727,0.057099935
145,0.31322333,0.051258057,0.28212667,0.03421766,0.48019624,0.06290608,0.47008097,0.06758132,0.21793717,0.02219135,0.31715342,0.057065383
146,0.31224257,0.05097871,0.28149614,0.0341314,0.47916064,0.06290249,0.46912584,0.06739005,0.2176274,0.022240264,0.31665045,0.056959815
147,0.3110936,0.050806385,0.28043294,0.03395785,0.47763526,0.06265983,0.46796712,0.06750339,0.21723102,0.022162106,0.31615612,0.056961678
148,0.3102223,0.050477635,0.2796249,0.034160115,0.4764328,0.062415887,0.46700025,0.06758876,0.21689777,0.022043096,0.31564233,0.056950662
149,0.30925748,0.050344583,0.27899548,0.033990916,0.4753954,0.062527135,0.46568048,0.06736949,0.21656872,0.022035273,0.31514698,0.05668049
150,0.3084875,0.05021639,0.27787015,0.033861835,0.4743633,0.062672935,0.46446493,0.06713673,0.21625997,0.022043321,0.31455755,0.05657503
151,0.3075665,0.04996545,0.2769257,0.03386421,0.47285578,0.06272314,0.46342766,0.06730727,0.21584149,0.021999765,0.31413612,0.05651756
152,0.30661973,0.04994372,0.27620628,0.033798855,0.47173452,0.06266343,0.462388,0.06729046,0.21559723,0.021954034,0.313593,0.05637608
153,0.3055508,0.049619056,0.27543077,0.033823445,0.46997634,0.06250221,0.46086672,0.06706486,0.2152511,0.02178165,0.31312928,0.056252673
154,0.3047506,0.04945183,0.2747134,0.03364987,0.46883312,0.062564135,0.4597256,0.06707452,0.21487527,0.021762496,0.31264317,0.05608078
155,0.30381396,0.04923213,0.27389207,0.033557642,0.46756983,0.062297687,0.4586085,0.067071185,0.21468551,0.021786904,0.31216946,0.05598392
